name,method,time to repair,number of changes
./out/cave0/61,SHAP,1.74,3
./out/cave0/61,IG,1.26,3
./out/cave0/61,UNI,1.1,3
./out/cave0/95,SHAP,0.95,1
./out/cave0/95,IG,0.94,1
./out/cave0/95,UNI,0.91,1
./out/cave0/59,SHAP,0.9,1
./out/cave0/59,IG,0.95,2
./out/cave0/59,UNI,0.89,1
./out/cave0/92,SHAP,0.92,2
./out/cave0/92,IG,1.12,2
./out/cave0/92,UNI,0.92,2
./out/cave0/66,SHAP,1.18,1
./out/cave0/66,IG,1.89,1
./out/cave0/66,UNI,1.42,1
./out/cave0/50,SHAP,0.85,2
./out/cave0/50,IG,1.0,2
./out/cave0/50,UNI,0.91,2
./out/cave0/68,SHAP,0.82,1
./out/cave0/68,IG,0.88,1
./out/cave0/68,UNI,0.89,1
./out/cave0/57,SHAP,0.94,3
./out/cave0/57,IG,1.04,3
./out/cave0/57,UNI,1.12,3
./out/cave0/32,SHAP,5.68,7
./out/cave0/32,IG,7.46,7
./out/cave0/32,UNI,7.94,7
./out/cave0/35,SHAP,0.99,4
./out/cave0/35,IG,1.77,4
./out/cave0/35,UNI,1.67,4
./out/cave0/69,SHAP,0.8,2
./out/cave0/69,IG,0.98,2
./out/cave0/69,UNI,0.97,2
./out/cave0/56,SHAP,0.85,2
./out/cave0/56,IG,1.08,2
./out/cave0/56,UNI,1.37,2
./out/cave0/51,SHAP,1.25,5
./out/cave0/51,IG,10.36,5
./out/cave0/51,UNI,4.37,5
./out/cave0/58,SHAP,0.97,6
./out/cave0/58,IG,1.36,6
./out/cave0/58,UNI,8.55,6
./out/cave0/67,SHAP,1.08,1
./out/cave0/67,IG,1.02,1
./out/cave0/67,UNI,2.21,1
./out/cave0/93,SHAP,0.87,1
./out/cave0/93,IG,0.91,1
./out/cave0/93,UNI,0.91,1
./out/cave0/94,SHAP,1.17,1
./out/cave0/94,IG,0.95,1
./out/cave0/94,UNI,0.91,1
./out/cave0/60,SHAP,1.03,3
./out/cave0/60,IG,1.35,3
./out/cave0/60,UNI,1.12,3
./out/cave0/34,SHAP,0.95,3
./out/cave0/34,IG,1.34,3
./out/cave0/34,UNI,1.28,3
./out/cave0/33,SHAP,0.95,1
./out/cave0/33,IG,1.05,2
./out/cave0/33,UNI,1.15,1
./out/cave0/20,SHAP,1.43,3
./out/cave0/20,IG,1.03,3
./out/cave0/20,UNI,1.12,3
./out/cave0/18,SHAP,0.82,1
./out/cave0/18,IG,1.13,1
./out/cave0/18,UNI,1.16,1
./out/cave0/27,SHAP,1.72,1
./out/cave0/27,IG,2.12,1
./out/cave0/27,UNI,1.61,1
./out/cave0/9,SHAP,0.84,1
./out/cave0/9,IG,1.1,1
./out/cave0/9,UNI,1.33,1
./out/cave0/11,SHAP,0.79,2
./out/cave0/11,IG,0.97,2
./out/cave0/11,UNI,0.98,2
./out/cave0/7,SHAP,4.89,4
./out/cave0/7,IG,1.54,4
./out/cave0/7,UNI,4.63,4
./out/cave0/29,SHAP,0.88,3
./out/cave0/29,IG,1.75,3
./out/cave0/29,UNI,1.27,3
./out/cave0/16,SHAP,0.82,3
./out/cave0/16,IG,1.02,4
./out/cave0/16,UNI,1.3,3
./out/cave0/42,SHAP,5.89,9
./out/cave0/42,IG,6.06,7
./out/cave0/42,UNI,4.11,7
./out/cave0/89,SHAP,1.77,1
