name,method,time to repair,number of changes
./out/mario00/104,SHAP,3009.16,1
./out/mario00/104,IG,0.16,1
./out/mario00/104,UNI,1737.04,1
./out/mario00/103,SHAP,2432.51,1
./out/mario00/103,IG,0.16,1
./out/mario00/103,UNI,1304.37,1
./out/mario00/102,SHAP,162.21,1
./out/mario00/102,IG,0.22,1
./out/mario00/102,UNI,321.35,1
./out/mario00/11,SHAP,1291.69,1
./out/mario00/11,IG,1283.94,1
./out/mario00/11,UNI,1314.92,1
./out/mario00/6,SHAP,10.55,1
./out/mario00/6,IG,,1
./out/mario00/6,UNI,9.06,1
./out/mario00/8,IG,,1
./out/mario00/8,UNI,25.83,1
./out/mario00/100,SHAP,871.62,1
./out/mario00/100,IG,0.17,1
./out/mario00/100,UNI,1453.66,1
./out/mario00/101,SHAP,1437.38,1
./out/mario00/101,IG,0.16,1
./out/mario00/101,UNI,2563.46,1
./out/mario00/4,SHAP,206.05,1
./out/mario00/4,IG,,1
./out/mario00/4,UNI,,
./out/mario00/15,SHAP,67.74,1
./out/mario00/15,IG,0.18,1
./out/mario00/15,UNI,73.07,1
./out/mario00/12,SHAP,165.1,1
./out/mario00/12,IG,,1
./out/mario00/12,UNI,324.61,1
./out/mario00/2,SHAP,53.74,1
./out/mario00/2,IG,,1
./out/mario00/2,UNI,46.43,1
./out/mario00/5,IG,,2
./out/mario00/5,UNI,12605.56,2
./out/mario00/14,SHAP,1431.65,1
./out/mario00/14,IG,0.17,1
./out/mario00/14,UNI,1438.08,1
./out/mario01/61,SHAP,1989.79,1
./out/mario01/61,IG,0.13,1
./out/mario01/61,UNI,3247.6,1
./out/mario01/66,IG,0.18,1
./out/mario01/66,UNI,3217.88,1
./out/mario01/50,SHAP,307.37,1
./out/mario01/50,IG,0.14,1
./out/mario01/50,UNI,2072.43,1
./out/mario01/57,SHAP,3853.66,32
./out/mario01/57,IG,0.15,35
./out/mario01/57,UNI,,
./out/mario01/69,IG,0.15,1
./out/mario01/69,UNI,3311.63,1
./out/mario01/56,SHAP,1725.75,1
./out/mario01/56,IG,0.15,1
./out/mario01/56,UNI,3031.99,1
./out/mario01/67,SHAP,15.42,1
./out/mario01/67,IG,0.14,1
./out/mario01/67,UNI,14.46,1
./out/mario01/93,SHAP,1263.23,1
./out/mario01/93,IG,0.21,1
./out/mario01/93,UNI,1574.94,1
./out/mario01/34,SHAP,67.93,1
./out/mario01/34,IG,0.15,1
./out/mario01/34,UNI,71.19,1
./out/mario01/33,IG,0.17,1
./out/mario01/33,UNI,2534.29,1
./out/mario01/20,SHAP,50.35,1
./out/mario01/20,IG,0.15,1
./out/mario01/20,UNI,49.54,1
./out/mario01/27,SHAP,68.88,1
./out/mario01/27,IG,0.18,1
./out/mario01/27,UNI,74.22,1
./out/mario01/9,SHAP,1774.86,1
./out/mario01/9,UNI,2713.71,1
./out/mario01/11,SHAP,1697.55,1
./out/mario01/11,IG,637.69,1
./out/mario01/11,UNI,2950.8,1
./out/mario01/7,SHAP,6485.04,1
./out/mario01/7,UNI,3015.57,1
./out/mario01/29,SHAP,,10
./out/mario01/29,IG,0.17,19
./out/mario01/29,UNI,,
./out/mario01/42,SHAP,726.4,2
./out/mario01/42,IG,0.15,1
./out/mario01/42,UNI,1304.39,1
./out/mario01/89,SHAP,3987.15,1
./out/mario01/89,IG,0.21,1
./out/mario01/89,UNI,1574.3,1
./out/mario01/87,SHAP,234.51,1
./out/mario01/87,IG,0.15,1
./out/mario01/87,UNI,433.11,1
