name,method,time to repair,number of changes
./out/supercat00/61,SHAP,47.45,5
./out/supercat00/61,IG,15.9,5
./out/supercat00/61,UNI,46.2,5
./out/supercat00/95,SHAP,900.39,5
./out/supercat00/95,IG,15.91,5
./out/supercat00/95,UNI,962.39,5
./out/supercat00/59,SHAP,39.07,5
./out/supercat00/59,IG,16.03,5
./out/supercat00/59,UNI,46.19,5
./out/supercat00/92,SHAP,47.03,4
./out/supercat00/92,IG,15.97,4
./out/supercat00/92,UNI,363.7,4
./out/supercat00/66,SHAP,41.82,5
./out/supercat00/66,IG,15.92,5
./out/supercat00/66,UNI,46.13,5
./out/supercat00/68,SHAP,65.21,6
./out/supercat00/68,IG,16.03,5
./out/supercat00/68,UNI,41.67,5
./out/supercat00/57,SHAP,53.7,6
./out/supercat00/57,IG,15.92,5
./out/supercat00/57,UNI,42.05,5
./out/supercat00/32,SHAP,888.96,5
./out/supercat00/32,IG,16.34,5
./out/supercat00/32,UNI,952.06,5
./out/supercat00/35,SHAP,24.78,4
./out/supercat00/35,IG,16.15,4
./out/supercat00/35,UNI,294.92,4
./out/supercat00/69,SHAP,232.71,5
./out/supercat00/69,IG,16.19,5
./out/supercat00/69,UNI,725.2,5
./out/supercat00/56,SHAP,88.61,6
./out/supercat00/56,IG,15.98,5
./out/supercat00/56,UNI,63.05,5
./out/supercat00/51,SHAP,24.94,4
./out/supercat00/51,IG,16.05,4
./out/supercat00/51,UNI,294.94,4
./out/supercat00/58,SHAP,61.79,5
./out/supercat00/58,IG,15.99,5
./out/supercat00/58,UNI,46.64,5
./out/supercat00/67,SHAP,48.17,4
./out/supercat00/67,IG,16.12,4
./out/supercat00/67,UNI,363.37,4
./out/supercat00/93,SHAP,798.88,5
./out/supercat00/93,IG,15.58,5
./out/supercat00/93,UNI,729.85,5
./out/supercat00/94,SHAP,138.41,5
./out/supercat00/94,IG,16.04,5
./out/supercat00/94,UNI,754.08,5
./out/supercat00/60,SHAP,897.55,5
./out/supercat00/60,IG,16.14,5
./out/supercat00/60,UNI,955.71,5
./out/supercat00/34,SHAP,912.64,5
./out/supercat00/34,IG,15.9,5
./out/supercat00/34,UNI,971.67,5
./out/supercat00/33,SHAP,895.97,5
